embedding_boost,text_boost,Retrieval Accuracy,Average Position,MRR,Average Precision,Average Recall,Total Questions,Total Openai json error,Total contexts found,Total positions sum
0.25,0.0,0.226,2.458,0.131,0.049,0.102,318,0,72,177
0.5,0.0,0.214,2.441,0.124,0.047,0.099,318,0,68,166
0.75,0.0,0.22,2.486,0.126,0.048,0.099,318,0,70,174
1.0,0.0,0.22,2.543,0.123,0.048,0.099,318,0,70,178
1.25,0.0,0.22,2.457,0.126,0.048,0.1,318,0,70,172
1.5,0.0,0.22,2.529,0.124,0.048,0.1,318,0,70,177
1.75,0.0,0.214,2.441,0.124,0.047,0.099,318,0,68,166
2.0,0.0,0.223,2.507,0.127,0.048,0.101,318,0,71,178
2.25,0.0,0.214,2.441,0.123,0.047,0.099,318,0,68,166
2.5,0.0,0.22,2.529,0.124,0.048,0.1,318,0,70,177
2.75,0.0,0.223,2.493,0.127,0.048,0.101,318,0,71,177
3.0,0.0,0.214,2.471,0.124,0.047,0.099,318,0,68,168
3.25,0.0,0.214,2.559,0.119,0.047,0.099,318,0,68,174
3.5,0.0,0.223,2.521,0.127,0.048,0.099,318,0,71,179
3.75,0.0,0.22,2.486,0.126,0.048,0.1,318,0,70,174
4.0,0.0,0.211,2.463,0.121,0.046,0.099,318,0,67,165
4.25,0.0,0.22,2.514,0.124,0.048,0.1,318,0,70,176
4.5,0.0,0.217,2.435,0.126,0.047,0.1,318,0,69,168
4.75,0.0,0.214,2.471,0.122,0.047,0.099,318,0,68,168
5.0,0.0,0.223,2.549,0.125,0.048,0.1,318,0,71,181
5.25,0.0,0.23,2.479,0.132,0.05,0.101,318,0,73,181
5.5,0.0,0.217,2.449,0.126,0.047,0.099,318,0,69,169
5.75,0.0,0.211,2.433,0.122,0.046,0.099,318,0,67,163
6.0,0.0,0.217,2.478,0.123,0.047,0.099,318,0,69,171
6.25,0.0,0.22,2.543,0.123,0.048,0.101,318,0,70,178
6.5,0.0,0.223,2.479,0.127,0.048,0.1,318,0,71,176
6.75,0.0,0.22,2.4,0.129,0.048,0.1,318,0,70,168
7.0,0.0,0.214,2.515,0.12,0.047,0.099,318,0,68,171
0.0,0.25,0.437,2.05,0.305,0.101,0.237,318,0,139,285
0.25,0.25,0.447,2.056,0.311,0.103,0.242,318,0,142,292
0.5,0.25,0.45,2.056,0.312,0.103,0.241,318,0,143,294
0.75,0.25,0.465,2.135,0.316,0.107,0.248,318,0,148,316
1.0,0.25,0.456,2.131,0.309,0.105,0.246,318,0,145,309
1.25,0.25,0.459,2.144,0.309,0.106,0.247,318,0,146,313
1.5,0.25,0.465,2.108,0.316,0.107,0.248,318,0,148,312
1.75,0.25,0.481,2.157,0.322,0.11,0.253,318,0,153,330
2.0,0.25,0.475,2.159,0.317,0.109,0.253,318,0,151,326
2.25,0.25,0.487,2.174,0.324,0.111,0.256,318,0,155,337
2.5,0.25,0.484,2.162,0.322,0.111,0.257,318,0,154,333
2.75,0.25,0.484,2.201,0.317,0.111,0.258,318,0,154,339
3.0,0.25,0.503,2.256,0.323,0.115,0.264,318,0,160,361
3.25,0.25,0.506,2.217,0.327,0.115,0.264,318,0,161,357
3.5,0.25,0.503,2.237,0.326,0.114,0.264,318,0,160,358
3.75,0.25,0.503,2.244,0.326,0.114,0.263,318,0,160,359
4.0,0.25,0.513,2.301,0.326,0.116,0.268,318,0,163,375
4.25,0.25,0.506,2.323,0.319,0.114,0.264,318,0,161,374
4.5,0.25,0.513,2.356,0.316,0.116,0.265,318,0,163,384
4.75,0.25,0.509,2.296,0.319,0.116,0.265,318,0,162,372
5.0,0.25,0.5,2.346,0.311,0.113,0.263,318,0,159,373
5.25,0.25,0.491,2.295,0.309,0.111,0.259,318,0,156,358
5.5,0.25,0.497,2.278,0.315,0.112,0.258,318,0,158,360
5.75,0.25,0.494,2.306,0.311,0.112,0.257,318,0,157,362
6.0,0.25,0.509,2.34,0.319,0.115,0.261,318,0,162,379
6.25,0.25,0.506,2.311,0.319,0.113,0.258,318,0,161,372
6.5,0.25,0.487,2.303,0.31,0.109,0.25,318,0,155,357
6.75,0.25,0.491,2.353,0.306,0.11,0.252,318,0,156,367
7.0,0.25,0.497,2.405,0.305,0.111,0.252,318,0,158,380
0.0,0.5,0.44,2.0,0.313,0.101,0.238,318,0,140,280
0.25,0.5,0.447,2.092,0.308,0.104,0.245,318,0,142,297
0.5,0.5,0.45,2.035,0.316,0.103,0.242,318,0,143,291
0.75,0.5,0.453,2.056,0.316,0.103,0.242,318,0,144,296
1.0,0.5,0.453,2.097,0.311,0.103,0.241,318,0,144,302
1.25,0.5,0.456,2.076,0.317,0.105,0.247,318,0,145,301
1.5,0.5,0.459,2.089,0.316,0.106,0.247,318,0,146,305
1.75,0.5,0.459,2.13,0.311,0.106,0.248,318,0,146,311
2.0,0.5,0.456,2.138,0.309,0.106,0.247,318,0,145,310
2.25,0.5,0.462,2.17,0.31,0.107,0.249,318,0,147,319
2.5,0.5,0.465,2.115,0.316,0.107,0.248,318,0,148,313
2.75,0.5,0.462,2.109,0.313,0.107,0.25,318,0,147,310
